Episode,start,end,duration_h,n_windows,T_delta_max,lstm_err_max
1,2020-11-23 12:45:00+00:00,2020-11-24 14:45:00+00:00,26.0,27,,0.12716
2,2020-11-25 01:45:00+00:00,2020-11-25 04:45:00+00:00,3.0,4,,0.07519
3,2020-11-26 13:45:00+00:00,2020-11-28 09:45:00+00:00,44.0,45,,0.13242
4,2021-01-04 15:45:00+00:00,2021-01-04 23:45:00+00:00,8.0,9,,0.08076
5,2021-01-05 09:45:00+00:00,2021-01-05 14:45:00+00:00,5.0,6,,0.15303
6,2021-01-06 10:45:00+00:00,2021-01-06 14:45:00+00:00,4.0,5,,0.14666
7,2021-01-07 09:45:00+00:00,2021-01-07 14:45:00+00:00,5.0,6,,0.14788
8,2021-01-08 09:45:00+00:00,2021-01-08 14:45:00+00:00,5.0,6,,0.13466
9,2021-01-09 10:45:00+00:00,2021-01-09 16:45:00+00:00,6.0,7,,0.08684
10,2021-01-12 20:45:00+00:00,2021-01-12 21:45:00+00:00,1.0,2,,0.07843
11,2021-01-13 09:45:00+00:00,2021-01-13 14:45:00+00:00,5.0,6,,0.1619
12,2021-01-15 10:45:00+00:00,2021-01-29 23:45:00+00:00,349.0,350,,0.15449
13,2021-02-16 03:45:00+00:00,2021-02-22 03:45:00+00:00,144.0,145,,0.14904
14,2021-02-22 06:45:00+00:00,2021-02-24 22:45:00+00:00,64.0,65,,0.12102
15,2021-02-25 04:45:00+00:00,2021-02-25 23:45:00+00:00,19.0,20,,0.09798
16,2021-02-26 05:45:00+00:00,2021-02-26 21:45:00+00:00,16.0,17,,0.10185
17,2021-03-01 18:45:00+00:00,2021-03-01 22:45:00+00:00,4.0,5,,0.07675
18,2021-03-02 01:45:00+00:00,2021-03-02 02:45:00+00:00,1.0,2,,0.07321
19,2021-03-18 19:45:00+00:00,2021-03-18 21:45:00+00:00,2.0,3,,0.07469
20,2021-03-19 20:45:00+00:00,2021-03-19 20:45:00+00:00,0.0,1,,0.07335
21,2021-03-31 00:45:00+00:00,2021-03-31 03:45:00+00:00,3.0,4,,0.07528
22,2021-03-31 19:45:00+00:00,2021-04-01 05:45:00+00:00,10.0,11,,0.08965
23,2021-04-01 17:45:00+00:00,2021-04-02 00:45:00+00:00,7.0,8,,0.10213
24,2021-04-02 22:45:00+00:00,2021-04-03 06:45:00+00:00,8.0,9,,0.11328
25,2021-04-03 14:45:00+00:00,2021-04-03 14:45:00+00:00,0.0,1,,0.07553
26,2021-04-03 17:45:00+00:00,2021-04-03 18:45:00+00:00,1.0,2,,0.07493
